,id,creation_time,formatted_creation_time,airline_code,flight_number,flight_date,departure_airport,departure_city,departure_country,departure_lat,departure_lon,user_name,action_name,header_line,stepID,action_mode,entry_details
1120168,33868079,2024-05-01 02:53:40,01-05-2024 02:53:40,AB,2607,1,DEL,New Delhi,IN,28.5665,77.1031,human,AcceptTransitDataAction,"2024-05-01 02:53:40,854 INFO  [b44856d2efb347af] [AB2607 /01 DEL | human      | AcceptTransitDataAction             |                                | default task-51]  Received:",b44856d2efb347af,Received,"com.onesystem.lc2.common.dto.SingleAttributeDTO [ id = 542568 ]
Previous leg id    : 542567
Confirmation needed: false
Forced accept      : false"
1120169,33868151,2024-05-01 02:53:38,01-05-2024 02:53:38,AB,2607,1,DEL,New Delhi,IN,28.5665,77.1031,human,AcceptTransitDataAction,"2024-05-01 02:53:38,027 INFO  [23236d6935d7d371] [AB2607 /01 DEL | human      | AcceptTransitDataAction             |                                | default task-10]  Received:",23236d6935d7d371,Received,"com.onesystem.lc2.common.dto.SingleAttributeDTO [ id = 542568 ]
Previous leg id    : 542567
Confirmation needed: false
Forced accept      : false"
1120170,33868184,2024-05-01 02:53:50,01-05-2024 02:53:50,AB,2607,1,DEL,New Delhi,IN,28.5665,77.1031,human,AcceptTransitDataAction,"2024-05-01 02:53:50,997 INFO  [2e2e15ce2dd30d6b] [AB2607 /01 DEL | human      | AcceptTransitDataAction             |                                | default task-23]  Received:",2e2e15ce2dd30d6b,Received,"com.onesystem.lc2.common.dto.SingleAttributeDTO [ id = 542568 ]
Previous leg id    : 542567
Confirmation needed: false
Forced accept      : false"
1120171,33903526,2024-05-01 09:20:07,01-05-2024 09:20:07,AB,2324,1,GAU,Guwahati,IN,26.1061,91.5859,human,AcceptTransitDataAction,"2024-05-01 09:20:07,877 INFO  [3da6410da60ec3ba] [AB2324 /01 GAU | human        | AcceptTransitDataAction             |                                | default task-53]  Received:",3da6410da60ec3ba,Received,"com.onesystem.lc2.common.dto.SingleAttributeDTO [ id = 542585 ]
Previous leg id    : 542584
Confirmation needed: false
Forced accept      : false"
1120172,33903622,2024-05-01 09:21:19,01-05-2024 09:21:19,AB,2324,1,GAU,Guwahati,IN,26.1061,91.5859,human,AcceptTransitDataAction,"2024-05-01 09:21:19,086 INFO  [857bea21a82c16b5] [AB2324 /01 GAU | human        | AcceptTransitDataAction             |                                | default task-46]  Received:",857bea21a82c16b5,Received,"com.onesystem.lc2.common.dto.SingleAttributeDTO [ id = 542585 ]
Previous leg id    : 542584
Confirmation needed: false
Forced accept      : false"
1120173,33909928,2024-05-01 10:25:13,01-05-2024 10:25:13,AB,2324,1,GAU,Guwahati,IN,26.1061,91.5859,human,AcceptTransitDataAction,"2024-05-01 10:25:13,229 INFO  [39d03954c32ec2b4] [AB2324 /01 GAU | human        | AcceptTransitDataAction             |                                | default task-14]  Received:",39d03954c32ec2b4,Received,"com.onesystem.lc2.common.dto.SingleAttributeDTO [ id = 542585 ]
Previous leg id    : 542584
Confirmation needed: false
Forced accept      : false"
1120174,33924299,2024-05-01 13:28:00,01-05-2024 13:28:00,AB,2525,1,BOM,Mumbai,IN,19.0887,72.8679,human,AcceptTransitDataAction,"2024-05-01 13:28:00,428 INFO  [93777b2f6cdfce6e] [AB2525 /01 BOM | human     | AcceptTransitDataAction             |                                | default task-54]  Received:",93777b2f6cdfce6e,Received,"com.onesystem.lc2.common.dto.SingleAttributeDTO [ id = 542599 ]
Previous leg id    : 542598
Confirmation needed: false
Forced accept      : false"
1120175,33924581,2024-05-01 13:28:58,01-05-2024 13:28:58,AB,2525,1,BOM,Mumbai,IN,19.0887,72.8679,human,AcceptTransitDataAction,"2024-05-01 13:28:58,494 INFO  [db9186fc61cb5a52] [AB2525 /01 BOM | human     | AcceptTransitDataAction             |                                | default task-58]  Received:",db9186fc61cb5a52,Received,"com.onesystem.lc2.common.dto.SingleAttributeDTO [ id = 542599 ]
Previous leg id    : 542598
Confirmation needed: false
Forced accept      : false"
1120176,33892642,2024-05-01 07:11:36,01-05-2024 07:11:36,AB,2486,1,MAA,Chennai,IN,12.99001,80.1693,human,AcceptTransitDataAction,"2024-05-01 07:11:36,419 INFO  [7e9a1a675dffa36f] [AB2486 /01 MAA | human      | AcceptTransitDataAction             |                                | default task-41]  Received:",7e9a1a675dffa36f,Received,"com.onesystem.lc2.common.dto.SingleAttributeDTO [ id = 542608 ]
Previous leg id    : 542607
Confirmation needed: false
Forced accept      : false"
1120177,33885390,2024-05-01 06:15:10,01-05-2024 06:15:10,AB,2323,1,GAU,Guwahati,IN,26.1061,91.5859,human,AcceptTransitDataAction,"2024-05-01 06:15:10,207 INFO  [733db6e9a8fd7353] [AB2323 /01 GAU | human       | AcceptTransitDataAction             |                                | default task-7]  Received:",733db6e9a8fd7353,Received,"com.onesystem.lc2.common.dto.SingleAttributeDTO [ id = 542717 ]
Previous leg id    : 542716
Confirmation needed: false
Forced accept      : false"
1120548,34377703,2024-05-06 05:32:13,06-05-2024 05:32:13,AB,2486,6,MAA,Chennai,IN,12.99001,80.1693,human,AcceptTransitDataAction,"2024-05-06 05:32:13,529 INFO  [ac6d3a2019ae4e3c] [AB2486 /06 MAA | human      | AcceptTransitDataAction             |                                | default task-47]  Saved:",ac6d3a2019ae4e3c,Saved,STATUS AIRCRAFT_CONFIG 1 EZFW 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 TRANSIT_ACCEPTANCE 1 TRANSIT_PAX 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 BAG_LOAD_ITEMS_GEN 1 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 6
